Threshold,Baseline,MDNet,MDNet VOT bb16,MDNet VOT bb32,MDNet DAVIS bb16,MDNet DAVIS bb32,MDNet DAVIS bb64,Hourglass w/ Parent Network 1HG,Hourglass w/ Parent Network 1HG x2 s5,Hourglass w/o Parent Network 1HG,Hourglass w/o Parent Network 2HG,Hourglass w/o Parent Network 1HG x2 sigma 5,Hourglass w/o Parent Network 2HG x2 sigma5,Hourglass Online Training,ResNet101 sigma40,ResNet101 sigma40 + Temporal Kalman Filter,ResNet101 sigma20,ResNet50 sigma40,"ResNet50 Multiscale sigma96,48,24",Features ResNet Basic metriceuclidean patchsize1,Features ResNet Basic metriceuclidean patchsize3,Features ResNet Basic metriceuclidean patchsize5,Features ResNet Basic metriccosine patchsize1,Features ResNet Basic metriccosine patchsize3,Features ResNet Basic metriccosine patchsize5,Features Metric Learning (480p) Basic metriceuclidean patchsize1,Features Metric Learning (480p) Basic metriceuclidean patchsize3,Features Metric Learning (480p) Basic metriceuclidean patchsize5,Features Metric Learning (480p) Basic metriccosine patchsize1,Features Metric Learning (480p) Basic metriccosine patchsize3,Features Metric Learning (480p) Basic metriccosine patchsize5,Features Metric Learning (320p) Basic metriceuclidean patchsize1,Features Metric Learning (320p) Basic metriceuclidean patchsize3,Features Metric Learning (320p) Basic metriceuclidean patchsize5,Features Metric Learning (320p) Basic metriccosine patchsize1,Features Metric Learning (320p) Basic metriccosine patchsize3,Features Metric Learning (320p) Basic metriccosine patchsize5,Features Metric Learning Triplet Loss (480p) D128 Basic metriceuclidean patchsize1,Features Metric Learning Triplet Loss (480p) D128 Basic metriceuclidean patchsize3,Features Metric Learning Triplet Loss (480p) D128 Basic metriceuclidean patchsize5,Features Metric Learning Triplet Loss (480p) D128 Basic metriccosine patchsize1,Features Metric Learning Triplet Loss (480p) D128 Basic metriccosine patchsize3,Features Metric Learning Triplet Loss (480p) D128 Basic metriccosine patchsize5
0,0.014534883720930232,0.015261627906976744,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0008496176720475786,0.0012300123001230013,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116
1,0.015113973741877444,0.02180232558139535,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007843216029389727,0.007566483210006544,0.045995261193841286,0.009732045102898507,0.008892658643097432,0.0424414227285806,0.04536945612527007,0.0007267441860465116,0.012214297323455085,0.011676874631213785,0.01353625712901017,0.010738622255040605,0.014359855974189976,0.0010461998957888607,0.0007267441860465116,0.0022807762067526493,0.0008496176720475786,0.0012300123001230013,0.003007520392799161,0.0007267441860465116,0.0008624211359087871,0.0007267441860465116,0.0007267441860465116,0.0008624211359087871,0.0007267441860465116,0.001184541239076748,0.0015870683438467205,0.0020118390798629067,0.001184541239076748,0.0016791698316998948,0.0012850948938163951,0.0018194260408609967,0.0017551888620841662,0.0019812460978976525,0.0018194260408609967,0.0017551888620841662,0.0007267441860465116
2,0.017735691827808434,0.029796511627906978,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0012882057140636925,0.023236626102920557,0.15110432385170597,0.0428535160422041,0.03374647752021763,0.13871869105878562,0.14743962129134378,0.0007267441860465116,0.03377728105111485,0.03173193475873069,0.049765653144138104,0.029012858358172904,0.041405230754083346,0.005328303498120365,0.003781980057132353,0.008235280242306412,0.007078798312161107,0.006400989616991535,0.008235280242306412,0.006676543491175817,0.004323926658612901,0.0052223299431520005,0.006676543491175817,0.004600027360235519,0.006675818315245024,0.002524388930469709,0.002000910801443064,0.003289754560687419,0.002524388930469709,0.002584593505531578,0.003971360005206664,0.00844060092347594,0.009932712081983212,0.012074321853708497,0.00844060092347594,0.007752479523843677,0.011514041167628778
3,0.02111022194283789,0.048453001659138746,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.0007267441860465116,0.002669758822381502,0.05786770861237033,0.2805505742102365,0.08266126926359567,0.07103336228685149,0.28491103932651557,0.2870912718846551,0.006594000570701772,0.06381240385887724,0.0612061188343401,0.09348454465387812,0.05795196693801428,0.08407109072031077,0.012883331638539816,0.007585570383106483,0.0175067991188184,0.014760832475916133,0.01395846184915256,0.0153287272713425,0.01417234550417319,0.010187440193374331,0.010913580806867782,0.01417234550417319,0.013094416937560378,0.010913580806867782,0.006143815260061267,0.006641379132407076,0.005980787093146737,0.006143815260061267,0.009451389593689864,0.008887763837332783,0.016539450611101274,0.017752822185244616,0.021828476391432816,0.016539450611101274,0.014845845441058568,0.018673740432364937
4,0.02377545918299002,0.06976744186046512,0.0007267441860465116,0.001117137711212806,0.0007267441860465116,0.0011830571836017757,0.00654454730336678,0.09242681871665531,0.38740258535378536,0.13086835515530404,0.12211978584175477,0.4037185944119492,0.40081161766776313,0.010185080696398835,0.10618552386922533,0.10208858880627458,0.16072628067273007,0.09896751639107391,0.13312449313525995,0.017300590457060918,0.012660231653086001,0.026394172685749083,0.020309828716995854,0.02111860923065591,0.020313456099739793,0.02091663466781225,0.022113182405714252,0.021886669086323654,0.02091663466781225,0.02574690333594681,0.022613413272370163,0.009671117489986556,0.017529151657974782,0.011411125447769638,0.009671117489986556,0.02116287258820734,0.01444397209317208,0.02308578621332506,0.0238760163390072,0.024626041785650803,0.02308578621332506,0.021695783780867665,0.02090381514154054
5,0.027905559677752927,0.10101744186046512,0.0007267441860465116,0.00296079500508429,0.0007267441860465116,0.0028829424499539815,0.007946643140979356,0.13392673292036109,0.44205314391698797,0.17825812826919832,0.1813661788216752,0.4613445220579593,0.45989103368586626,0.013625544339289627,0.14802341174833641,0.15407266112438525,0.2252223697908585,0.14041878460979074,0.19337224649103357,0.028424277574645104,0.020511285698927458,0.03859869617929627,0.031530846170528176,0.033313510544101824,0.029151021760691617,0.03644336309236968,0.03727672341032179,0.031568142956250954,0.03644336309236968,0.038704470086981996,0.03084139877020444,0.015032283256949457,0.023856842027213714,0.013535832584109186,0.015032283256949457,0.028217307143492784,0.015825480845364864,0.03241975808143198,0.03720012529867338,0.04023650823560449,0.03241975808143198,0.03473382092976742,0.03418841016568111
6,0.031878786008126436,0.1257267441860465,0.0011835705769765819,0.005101699802977794,0.0007267441860465116,0.006143245116265771,0.008304267804360574,0.17966102911495802,0.4633544901589155,0.2465214942312371,0.2625098663242604,0.48511839375419075,0.47898985029052876,0.019941867465240928,0.2036435872544929,0.21522533085399478,0.2973935872544929,0.19565572650195273,0.2624697591516915,0.04032625054553325,0.02993657083635522,0.04759369240599837,0.047144367672603014,0.05103188284213253,0.04393325721482465,0.05117970323088904,0.0556279408402304,0.046092493928563454,0.05117970323088904,0.054174452468137374,0.046819238114609966,0.019248787810788297,0.0304650625256048,0.01769520578812298,0.019248787810788297,0.03339271186769119,0.020774141393305978,0.04014224005753658,0.053531216743487896,0.057937210669671564,0.04014224005753658,0.048478069302734635,0.045582559506880865
7,0.0364521166529258,0.14898255813953487,0.0019192228832308764,0.007690121265462216,0.0007267441860465116,0.008615052255196563,0.008634815175445476,0.2314782965044813,0.48018876869884225,0.3102261111924739,0.3342280572942608,0.5018721429666869,0.4916859898606464,0.02847285616584869,0.2532400084617799,0.2771623182097025,0.36297838055480314,0.25426198155474844,0.3450582419756672,0.052534478569058,0.04523301303890849,0.060194682794939586,0.06396554164063195,0.06548662477433959,0.06373047280732257,0.06307746469940624,0.0772437808946394,0.06083491530653853,0.06307746469940624,0.0772458368482543,0.06460300720950049,0.027868327627203378,0.03657167755626298,0.02468614217929377,0.027868327627203378,0.04118902275350817,0.02904660729557284,0.06556420255387291,0.07055535052072755,0.0796772435159916,0.06556420255387291,0.06332853834552031,0.07277907481260108
8,0.038693142676815784,0.17950581395348839,0.0023306241775866987,0.010443293308629528,0.002080389696595968,0.010119108828720693,0.01091415281357513,0.2873088106374522,0.49189876081706935,0.3648032881351567,0.3902219756397018,0.5160828170913456,0.505181654300648,0.03579440276073544,0.31871823552277373,0.339564452960444,0.42421983838612726,0.29530387115193474,0.4130472259082275,0.06521924007656439,0.06135804664649602,0.07394017030912253,0.07721148019206885,0.08595069149577493,0.07770257133288562,0.07975412379749462,0.09646924007656439,0.07902737961144811,0.07975412379749462,0.09937621682075043,0.08048086798354114,0.03969414510824959,0.04478135441057517,0.031324354340857376,0.03969414510824959,0.049141819526854244,0.03859179620132249,0.08430783503962136,0.08558116236272416,0.10046780611761696,0.08430783503962136,0.07904046468830556,0.09101757228802114
9,0.045821951197289316,0.2061242986582792,0.0025339997200164396,0.012914774821638806,0.0025212935341357144,0.012364929196612825,0.012958495573065288,0.3295409514350198,0.5101953538940266,0.4041822974118677,0.437570261943641,0.535282620096372,0.5232798048710963,0.041493158513826865,0.37585501391076614,0.3899315914562913,0.46312099550316427,0.3352864817924345,0.4630915419160498,0.07515463517160074,0.07365561058578164,0.08592372191831452,0.08647980769257166,0.09983660133437407,0.09051479297861433,0.09361835711048301,0.11702055993998255,0.09814063626183307,0.09361835711048301,0.1199275366841686,0.10176604059037817,0.05001867891909038,0.05661487354584708,0.04681290665697143,0.05001867891909038,0.06311216859434626,0.054080348517436545,0.10278900226554735,0.10289771278066927,0.11977210287940887,0.10278900226554735,0.09417285515997649,0.11177791683289724
